symbol,side_group,extra_delay_minutes,signal_utc,btc_signal_bps,gross_bps
1000BONKUSDT,both,0,2026-07-03 20:07:00+00:00,40.61448751192742,6.577504933129585
1000BONKUSDT,both,0,2026-07-05 22:21:00+00:00,26.715837567046208,57.54212905877631
1000BONKUSDT,both,0,2026-07-06 11:58:00+00:00,-43.318422596954065,115.83011583011671
1000BONKUSDT,both,0,2026-07-06 13:31:00+00:00,28.217796248473093,2.178649237472019
1000BONKUSDT,both,0,2026-07-06 14:24:00+00:00,34.25407190212226,2.14730513205863
1000BONKUSDT,both,0,2026-07-06 15:42:00+00:00,48.44801724784631,-27.765912003416826
1000BONKUSDT,both,0,2026-07-06 15:51:00+00:00,57.774615134125185,29.86348122866689
1000BONKUSDT,both,0,2026-07-06 21:10:00+00:00,76.86459278543722,-37.61061946902622
1000BONKUSDT,both,0,2026-07-07 14:36:00+00:00,-53.846784612563425,-9.465215333650523
1000BONKUSDT,both,0,2026-07-08 01:37:00+00:00,-38.353917266764626,4.889975550123049
1000BONKUSDT,both,0,2026-07-08 08:17:00+00:00,-31.539099418136374,-0.0
1000BONKUSDT,both,0,2026-07-08 11:44:00+00:00,41.6966873235225,17.690169320192517
1000BONKUSDT,both,0,2026-07-08 14:21:00+00:00,27.19474943381428,-2.4648755237866027
1000BONKUSDT,both,0,2026-07-08 14:46:00+00:00,-27.847441300234976,-4.962779156327812
1000BONKUSDT,both,0,2026-07-09 01:10:00+00:00,58.49239383936222,-74.31260837255316
1000BONKUSDT,both,0,2026-07-09 01:41:00+00:00,-28.967242234383406,10.022550739162694
1000BONKUSDT,both,0,2026-07-09 14:16:00+00:00,-29.601484650374488,4.966476285076515
1000BONKUSDT,both,0,2026-07-09 15:23:00+00:00,34.148393063979654,-9.918175055790845
1000BONKUSDT,both,0,2026-07-09 18:08:00+00:00,39.19958277361246,-12.379301807377008
1000BONKUSDT,both,0,2026-07-10 01:49:00+00:00,67.85196105052904,-7.433102081267906
1000BONKUSDT,both,0,2026-07-10 08:17:00+00:00,27.48875791819927,24.869435463814593
1000BONKUSDT,both,0,2026-07-10 14:33:00+00:00,-51.930973410012626,-42.02719406674716
1000BONKUSDT,both,0,2026-07-11 15:38:00+00:00,-35.11933980936632,-0.0
1000BONKUSDT,both,0,2026-07-13 00:11:00+00:00,28.891519412841404,7.4441687344917185
